database,level_1,trees,depth,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,balancedAcc,mcc,k,type,model_complexity,ands
fraudk,0,10,10,385.0,376.0,385.0,5.0,98.71794871794872,49.40867279894875,50.0,66.11642050390965,66.37931034482759,69.83926422570995,83.92516594224873,0.992142983422409,74.06331075844874,0.484063299568449,1,train,100,2
fraudk,1,10,10,387.0,380.0,387.0,3.0,99.23076923076924,49.54367666232073,50.0,66.29213483146067,66.49484536082474,70.11602631155445,84.32464146023469,0.996083550913838,74.38722294654498,0.48995079016624615,2,train,100,2
fraudk,2,10,10,400.0,435.0,400.0,14.0,96.61835748792272,52.09580838323353,50.0,66.85348278622898,65.89785831960462,70.94653929539888,83.26159275651595,0.9844097995545658,74.35708293557812,0.4778928301894808,3,train,100,2
fraudk,3,10,10,376.0,388.0,376.0,5.0,98.68766404199476,50.78534031413613,50.0,66.72489082969433,66.37246248896734,70.7946792010518,84.31696692363717,0.9936386768447838,74.73650217806545,0.4909895583587078,4,train,100,2
fraudk,4,10,10,391.0,405.0,391.0,2.0,99.49109414758269,50.87939698492462,50.0,66.94701429772918,66.5531914893617,71.14806304882354,84.90758499878527,0.9975429975429976,75.18524556625366,0.49937685894830647,5,train,100,2
fraudk,5,10,10,92.0,54600.0,92.0,10.0,90.19607843137256,99.83178527024064,50.0,99.8138482315582,64.33566433566435,94.89170424319803,93.08679048303298,0.5223693791773485,95.0139318508066,0.6708013584543621,1,test,100,2
fraudk,6,10,10,92.0,55176.0,92.0,10.0,90.19607843137256,99.83353839473112,50.0,99.81578472096804,64.33566433566435,94.89253742593571,93.08731642038012,0.5242867158058778,95.01480841305184,0.6708091722858883,2,test,100,2
fraudk,7,10,10,70.0,54815.0,70.0,8.0,89.74358974358975,99.8724605994352,50.0,99.85808634899844,64.22018348623853,94.672663059188,92.78225100034338,0.5172795416404338,94.80802517151247,0.6692902810067488,3,test,100,2
fraudk,8,10,10,101.0,55635.0,101.0,10.0,90.990990990991,99.81878857470934,50.0,99.80124268089602,64.5367412140575,95.30273076849905,93.6393302661065,0.5285382625809183,95.40488978285018,0.6737103999264129,4,test,100,2
fraudk,9,10,10,90.0,54902.0,90.0,9.0,90.9090909090909,99.83633983124818,50.0,99.82029732624204,64.51612903225806,95.26820505157968,93.5872655857381,0.5234044792695289,95.37271537016954,0.6734823089742634,5,test,100,2
pageblocks,0,25,10,447.0,442.0,447.0,2.0,99.554565701559,49.71878515185602,50.0,66.4424514200299,66.56738644825019,70.35433222625417,84.6038315366481,0.9955205762555428,74.63667542670751,0.4941125721516938,1,train,250,2
pageblocks,1,25,10,446.0,507.0,446.0,1.0,99.77628635346755,53.20041972717734,50.0,68.07142857142857,66.6168782673637,72.85698533993505,85.80352636558048,0.997897179798834,76.48835304032245,0.5136542434929647,2,train,250,2
pageblocks,2,25,10,445.0,475.0,445.0,1.0,99.77578475336324,51.63043478260869,50.0,67.34992679355784,66.61676646706587,71.77372184575718,85.33217976213687,0.9956013655462184,75.70310976798596,0.5059161344378791,3,train,250,2
pageblocks,3,25,10,452.0,524.0,452.0,1.0,99.77924944812362,53.68852459016394,50.0,68.29951014695591,66.61753868828299,73.19153426171422,85.95203199073572,0.9990476190476192,76.73388701914378,0.5160624345951101,4,train,250,2
pageblocks,4,25,10,443.0,513.0,443.0,2.0,99.5505617977528,53.6610878661088,50.0,68.23697359029265,66.56649135987978,73.08892832536065,85.7837196182596,0.9969321263010584,76.6058248319308,0.5138013005897335,5,train,250,2
pageblocks,5,25,10,110.0,964.0,110.0,1.0,99.09909909909908,89.75791433891993,50.0,90.63291139240506,66.46525679758308,94.31292831844992,96.29674367104533,0.8308071664897934,94.4285067190095,0.6658560423420214,1,test,250,2
pageblocks,6,25,10,108.0,953.0,108.0,5.0,95.57522123893806,89.82092365692743,50.0,90.3747870528109,65.65349544072947,92.65341143420788,93.84893196433487,0.8435442428135539,92.69807244793274,0.6500182483438144,2,test,250,2
pageblocks,7,25,10,110.0,875.0,110.0,4.0,96.49122807017544,88.83248730964468,50.0,89.62693357597816,65.86826347305389,92.58269704991255,94.19360584201621,0.8193621140450672,92.66185768991005,0.6501813700571679,3,test,250,2
pageblocks,8,25,10,106.0,905.0,106.0,1.0,99.06542056074768,89.51533135509396,50.0,90.4293381037567,66.4576802507837,94.16938965145238,96.20039379905157,0.845853352378479,94.29037595792082,0.6647751853714576,4,test,250,2
pageblocks,9,25,10,111.0,948.0,111.0,4.0,96.52173913043478,89.51841359773371,50.0,90.20442930153322,65.8753709198813,92.95414441890593,94.42074147062445,0.8302344890051829,93.02007636408425,0.6531352319185303,5,test,250,2
fraudk,0,10,10,385.0,376.0,385.0,5.0,98.71794871794872,49.40867279894875,50.0,66.11642050390965,66.37931034482759,69.83926422570995,83.92516594224873,0.992142983422409,74.06331075844874,0.484063299568449,1,train,100,4
fraudk,1,10,10,387.0,380.0,387.0,3.0,99.23076923076924,49.54367666232073,50.0,66.29213483146067,66.49484536082474,70.11602631155445,84.32464146023469,0.996083550913838,74.38722294654498,0.48995079016624615,2,train,100,4
fraudk,2,10,10,400.0,435.0,400.0,14.0,96.61835748792272,52.09580838323353,50.0,66.85348278622898,65.89785831960462,70.94653929539888,83.26159275651595,0.9844097995545658,74.35708293557812,0.4778928301894808,3,train,100,4
fraudk,3,10,10,376.0,388.0,376.0,5.0,98.68766404199476,50.78534031413613,50.0,66.72489082969433,66.37246248896734,70.7946792010518,84.31696692363717,0.9936386768447838,74.73650217806545,0.4909895583587078,4,train,100,4
fraudk,4,10,10,391.0,405.0,391.0,2.0,99.49109414758269,50.87939698492462,50.0,66.94701429772918,66.5531914893617,71.14806304882354,84.90758499878527,0.9975429975429976,75.18524556625366,0.49937685894830647,5,train,100,4
fraudk,5,10,10,92.0,54600.0,92.0,10.0,90.19607843137256,99.83178527024064,50.0,99.8138482315582,64.33566433566435,94.89170424319803,93.08679048303298,0.5223693791773485,95.0139318508066,0.6708013584543621,1,test,100,4
fraudk,6,10,10,92.0,55176.0,92.0,10.0,90.19607843137256,99.83353839473112,50.0,99.81578472096804,64.33566433566435,94.89253742593571,93.08731642038012,0.5242867158058778,95.01480841305184,0.6708091722858883,2,test,100,4
fraudk,7,10,10,70.0,54815.0,70.0,8.0,89.74358974358975,99.8724605994352,50.0,99.85808634899844,64.22018348623853,94.672663059188,92.78225100034338,0.5172795416404338,94.80802517151247,0.6692902810067488,3,test,100,4
fraudk,8,10,10,101.0,55635.0,101.0,10.0,90.990990990991,99.81878857470934,50.0,99.80124268089602,64.5367412140575,95.30273076849905,93.6393302661065,0.5285382625809183,95.40488978285018,0.6737103999264129,4,test,100,4
fraudk,9,10,10,90.0,54902.0,90.0,9.0,90.9090909090909,99.83633983124818,50.0,99.82029732624204,64.51612903225806,95.26820505157968,93.5872655857381,0.5234044792695289,95.37271537016954,0.6734823089742634,5,test,100,4
pageblocks,0,25,10,447.0,442.0,447.0,2.0,99.554565701559,49.71878515185602,50.0,66.4424514200299,66.56738644825019,70.35433222625417,84.6038315366481,0.9955205762555428,74.63667542670751,0.4941125721516938,1,train,250,4
pageblocks,1,25,10,446.0,507.0,446.0,1.0,99.77628635346755,53.20041972717734,50.0,68.07142857142857,66.6168782673637,72.85698533993505,85.80352636558048,0.997897179798834,76.48835304032245,0.5136542434929647,2,train,250,4
pageblocks,2,25,10,445.0,475.0,445.0,1.0,99.77578475336324,51.63043478260869,50.0,67.34992679355784,66.61676646706587,71.77372184575718,85.33217976213687,0.9956013655462184,75.70310976798596,0.5059161344378791,3,train,250,4
pageblocks,3,25,10,452.0,524.0,452.0,1.0,99.77924944812362,53.68852459016394,50.0,68.29951014695591,66.61753868828299,73.19153426171422,85.95203199073572,0.9990476190476192,76.73388701914378,0.5160624345951101,4,train,250,4
pageblocks,4,25,10,443.0,513.0,443.0,2.0,99.5505617977528,53.6610878661088,50.0,68.23697359029265,66.56649135987978,73.08892832536065,85.7837196182596,0.9969321263010584,76.6058248319308,0.5138013005897335,5,train,250,4
pageblocks,5,25,10,110.0,964.0,110.0,1.0,99.09909909909908,89.75791433891993,50.0,90.63291139240506,66.46525679758308,94.31292831844992,96.29674367104533,0.8308071664897934,94.4285067190095,0.6658560423420214,1,test,250,4
pageblocks,6,25,10,108.0,953.0,108.0,5.0,95.57522123893806,89.82092365692743,50.0,90.3747870528109,65.65349544072947,92.65341143420788,93.84893196433487,0.8435442428135539,92.69807244793274,0.6500182483438144,2,test,250,4
pageblocks,7,25,10,110.0,875.0,110.0,4.0,96.49122807017544,88.83248730964468,50.0,89.62693357597816,65.86826347305389,92.58269704991255,94.19360584201621,0.8193621140450672,92.66185768991005,0.6501813700571679,3,test,250,4
pageblocks,8,25,10,106.0,905.0,106.0,1.0,99.06542056074768,89.51533135509396,50.0,90.4293381037567,66.4576802507837,94.16938965145238,96.20039379905157,0.845853352378479,94.29037595792082,0.6647751853714576,4,test,250,4
pageblocks,9,25,10,111.0,948.0,111.0,4.0,96.52173913043478,89.51841359773371,50.0,90.20442930153322,65.8753709198813,92.95414441890593,94.42074147062445,0.8302344890051829,93.02007636408425,0.6531352319185303,5,test,250,4
fraudk,0,10,10,385.0,376.0,385.0,5.0,98.71794871794872,49.40867279894875,50.0,66.11642050390965,66.37931034482759,69.83926422570995,83.92516594224873,0.992142983422409,74.06331075844874,0.484063299568449,1,train,100,6
fraudk,1,10,10,387.0,380.0,387.0,3.0,99.23076923076924,49.54367666232073,50.0,66.29213483146067,66.49484536082474,70.11602631155445,84.32464146023469,0.996083550913838,74.38722294654498,0.48995079016624615,2,train,100,6
fraudk,2,10,10,400.0,435.0,400.0,14.0,96.61835748792272,52.09580838323353,50.0,66.85348278622898,65.89785831960462,70.94653929539888,83.26159275651595,0.9844097995545658,74.35708293557812,0.4778928301894808,3,train,100,6
fraudk,3,10,10,376.0,388.0,376.0,5.0,98.68766404199476,50.78534031413613,50.0,66.72489082969433,66.37246248896734,70.7946792010518,84.31696692363717,0.9936386768447838,74.73650217806545,0.4909895583587078,4,train,100,6
fraudk,4,10,10,391.0,405.0,391.0,2.0,99.49109414758269,50.87939698492462,50.0,66.94701429772918,66.5531914893617,71.14806304882354,84.90758499878527,0.9975429975429976,75.18524556625366,0.49937685894830647,5,train,100,6
fraudk,5,10,10,92.0,54600.0,92.0,10.0,90.19607843137256,99.83178527024064,50.0,99.8138482315582,64.33566433566435,94.89170424319803,93.08679048303298,0.5223693791773485,95.0139318508066,0.6708013584543621,1,test,100,6
fraudk,6,10,10,92.0,55176.0,92.0,10.0,90.19607843137256,99.83353839473112,50.0,99.81578472096804,64.33566433566435,94.89253742593571,93.08731642038012,0.5242867158058778,95.01480841305184,0.6708091722858883,2,test,100,6
fraudk,7,10,10,70.0,54815.0,70.0,8.0,89.74358974358975,99.8724605994352,50.0,99.85808634899844,64.22018348623853,94.672663059188,92.78225100034338,0.5172795416404338,94.80802517151247,0.6692902810067488,3,test,100,6
fraudk,8,10,10,101.0,55635.0,101.0,10.0,90.990990990991,99.81878857470934,50.0,99.80124268089602,64.5367412140575,95.30273076849905,93.6393302661065,0.5285382625809183,95.40488978285018,0.6737103999264129,4,test,100,6
fraudk,9,10,10,90.0,54902.0,90.0,9.0,90.9090909090909,99.83633983124818,50.0,99.82029732624204,64.51612903225806,95.26820505157968,93.5872655857381,0.5234044792695289,95.37271537016954,0.6734823089742634,5,test,100,6
pageblocks,0,25,10,447.0,442.0,447.0,2.0,99.554565701559,49.71878515185602,50.0,66.4424514200299,66.56738644825019,70.35433222625417,84.6038315366481,0.9955205762555428,74.63667542670751,0.4941125721516938,1,train,250,6
pageblocks,1,25,10,446.0,507.0,446.0,1.0,99.77628635346755,53.20041972717734,50.0,68.07142857142857,66.6168782673637,72.85698533993505,85.80352636558048,0.997897179798834,76.48835304032245,0.5136542434929647,2,train,250,6
pageblocks,2,25,10,445.0,475.0,445.0,1.0,99.77578475336324,51.63043478260869,50.0,67.34992679355784,66.61676646706587,71.77372184575718,85.33217976213687,0.9956013655462184,75.70310976798596,0.5059161344378791,3,train,250,6
pageblocks,3,25,10,452.0,524.0,452.0,1.0,99.77924944812362,53.68852459016394,50.0,68.29951014695591,66.61753868828299,73.19153426171422,85.95203199073572,0.9990476190476192,76.73388701914378,0.5160624345951101,4,train,250,6
pageblocks,4,25,10,443.0,513.0,443.0,2.0,99.5505617977528,53.6610878661088,50.0,68.23697359029265,66.56649135987978,73.08892832536065,85.7837196182596,0.9969321263010584,76.6058248319308,0.5138013005897335,5,train,250,6
pageblocks,5,25,10,110.0,964.0,110.0,1.0,99.09909909909908,89.75791433891993,50.0,90.63291139240506,66.46525679758308,94.31292831844992,96.29674367104533,0.8308071664897934,94.4285067190095,0.6658560423420214,1,test,250,6
pageblocks,6,25,10,108.0,953.0,108.0,5.0,95.57522123893806,89.82092365692743,50.0,90.3747870528109,65.65349544072947,92.65341143420788,93.84893196433487,0.8435442428135539,92.69807244793274,0.6500182483438144,2,test,250,6
pageblocks,7,25,10,110.0,875.0,110.0,4.0,96.49122807017544,88.83248730964468,50.0,89.62693357597816,65.86826347305389,92.58269704991255,94.19360584201621,0.8193621140450672,92.66185768991005,0.6501813700571679,3,test,250,6
pageblocks,8,25,10,106.0,905.0,106.0,1.0,99.06542056074768,89.51533135509396,50.0,90.4293381037567,66.4576802507837,94.16938965145238,96.20039379905157,0.845853352378479,94.29037595792082,0.6647751853714576,4,test,250,6
pageblocks,9,25,10,111.0,948.0,111.0,4.0,96.52173913043478,89.51841359773371,50.0,90.20442930153322,65.8753709198813,92.95414441890593,94.42074147062445,0.8302344890051829,93.02007636408425,0.6531352319185303,5,test,250,6
fraudk,0,10,10,385.0,376.0,385.0,5.0,98.71794871794872,49.40867279894875,50.0,66.11642050390965,66.37931034482759,69.83926422570995,83.92516594224873,0.992142983422409,74.06331075844874,0.484063299568449,1,train,100,8
fraudk,1,10,10,387.0,380.0,387.0,3.0,99.23076923076924,49.54367666232073,50.0,66.29213483146067,66.49484536082474,70.11602631155445,84.32464146023469,0.996083550913838,74.38722294654498,0.48995079016624615,2,train,100,8
fraudk,2,10,10,400.0,435.0,400.0,14.0,96.61835748792272,52.09580838323353,50.0,66.85348278622898,65.89785831960462,70.94653929539888,83.26159275651595,0.9844097995545658,74.35708293557812,0.4778928301894808,3,train,100,8
fraudk,3,10,10,376.0,388.0,376.0,5.0,98.68766404199476,50.78534031413613,50.0,66.72489082969433,66.37246248896734,70.7946792010518,84.31696692363717,0.9936386768447838,74.73650217806545,0.4909895583587078,4,train,100,8
fraudk,4,10,10,391.0,405.0,391.0,2.0,99.49109414758269,50.87939698492462,50.0,66.94701429772918,66.5531914893617,71.14806304882354,84.90758499878527,0.9975429975429976,75.18524556625366,0.49937685894830647,5,train,100,8
fraudk,5,10,10,92.0,54600.0,92.0,10.0,90.19607843137256,99.83178527024064,50.0,99.8138482315582,64.33566433566435,94.89170424319803,93.08679048303298,0.5223693791773485,95.0139318508066,0.6708013584543621,1,test,100,8
fraudk,6,10,10,92.0,55176.0,92.0,10.0,90.19607843137256,99.83353839473112,50.0,99.81578472096804,64.33566433566435,94.89253742593571,93.08731642038012,0.5242867158058778,95.01480841305184,0.6708091722858883,2,test,100,8
fraudk,7,10,10,70.0,54815.0,70.0,8.0,89.74358974358975,99.8724605994352,50.0,99.85808634899844,64.22018348623853,94.672663059188,92.78225100034338,0.5172795416404338,94.80802517151247,0.6692902810067488,3,test,100,8
fraudk,8,10,10,101.0,55635.0,101.0,10.0,90.990990990991,99.81878857470934,50.0,99.80124268089602,64.5367412140575,95.30273076849905,93.6393302661065,0.5285382625809183,95.40488978285018,0.6737103999264129,4,test,100,8
fraudk,9,10,10,90.0,54902.0,90.0,9.0,90.9090909090909,99.83633983124818,50.0,99.82029732624204,64.51612903225806,95.26820505157968,93.5872655857381,0.5234044792695289,95.37271537016954,0.6734823089742634,5,test,100,8
pageblocks,0,25,10,447.0,442.0,447.0,2.0,99.554565701559,49.71878515185602,50.0,66.4424514200299,66.56738644825019,70.35433222625417,84.6038315366481,0.9955205762555428,74.63667542670751,0.4941125721516938,1,train,250,8
pageblocks,1,25,10,446.0,507.0,446.0,1.0,99.77628635346755,53.20041972717734,50.0,68.07142857142857,66.6168782673637,72.85698533993505,85.80352636558048,0.997897179798834,76.48835304032245,0.5136542434929647,2,train,250,8
pageblocks,2,25,10,445.0,475.0,445.0,1.0,99.77578475336324,51.63043478260869,50.0,67.34992679355784,66.61676646706587,71.77372184575718,85.33217976213687,0.9956013655462184,75.70310976798596,0.5059161344378791,3,train,250,8
pageblocks,3,25,10,452.0,524.0,452.0,1.0,99.77924944812362,53.68852459016394,50.0,68.29951014695591,66.61753868828299,73.19153426171422,85.95203199073572,0.9990476190476192,76.73388701914378,0.5160624345951101,4,train,250,8
pageblocks,4,25,10,443.0,513.0,443.0,2.0,99.5505617977528,53.6610878661088,50.0,68.23697359029265,66.56649135987978,73.08892832536065,85.7837196182596,0.9969321263010584,76.6058248319308,0.5138013005897335,5,train,250,8
pageblocks,5,25,10,110.0,964.0,110.0,1.0,99.09909909909908,89.75791433891993,50.0,90.63291139240506,66.46525679758308,94.31292831844992,96.29674367104533,0.8308071664897934,94.4285067190095,0.6658560423420214,1,test,250,8
pageblocks,6,25,10,108.0,953.0,108.0,5.0,95.57522123893806,89.82092365692743,50.0,90.3747870528109,65.65349544072947,92.65341143420788,93.84893196433487,0.8435442428135539,92.69807244793274,0.6500182483438144,2,test,250,8
pageblocks,7,25,10,110.0,875.0,110.0,4.0,96.49122807017544,88.83248730964468,50.0,89.62693357597816,65.86826347305389,92.58269704991255,94.19360584201621,0.8193621140450672,92.66185768991005,0.6501813700571679,3,test,250,8
pageblocks,8,25,10,106.0,905.0,106.0,1.0,99.06542056074768,89.51533135509396,50.0,90.4293381037567,66.4576802507837,94.16938965145238,96.20039379905157,0.845853352378479,94.29037595792082,0.6647751853714576,4,test,250,8
pageblocks,9,25,10,111.0,948.0,111.0,4.0,96.52173913043478,89.51841359773371,50.0,90.20442930153322,65.8753709198813,92.95414441890593,94.42074147062445,0.8302344890051829,93.02007636408425,0.6531352319185303,5,test,250,8
fraudk,0,10,10,385.0,376.0,385.0,5.0,98.71794871794872,49.40867279894875,50.0,66.11642050390965,66.37931034482759,69.83926422570995,83.92516594224873,0.992142983422409,74.06331075844874,0.484063299568449,1,train,100,10
fraudk,1,10,10,387.0,380.0,387.0,3.0,99.23076923076924,49.54367666232073,50.0,66.29213483146067,66.49484536082474,70.11602631155445,84.32464146023469,0.996083550913838,74.38722294654498,0.48995079016624615,2,train,100,10
fraudk,2,10,10,400.0,435.0,400.0,14.0,96.61835748792272,52.09580838323353,50.0,66.85348278622898,65.89785831960462,70.94653929539888,83.26159275651595,0.9844097995545658,74.35708293557812,0.4778928301894808,3,train,100,10
fraudk,3,10,10,376.0,388.0,376.0,5.0,98.68766404199476,50.78534031413613,50.0,66.72489082969433,66.37246248896734,70.7946792010518,84.31696692363717,0.9936386768447838,74.73650217806545,0.4909895583587078,4,train,100,10
fraudk,4,10,10,391.0,405.0,391.0,2.0,99.49109414758269,50.87939698492462,50.0,66.94701429772918,66.5531914893617,71.14806304882354,84.90758499878527,0.9975429975429976,75.18524556625366,0.49937685894830647,5,train,100,10
fraudk,5,10,10,92.0,54600.0,92.0,10.0,90.19607843137256,99.83178527024064,50.0,99.8138482315582,64.33566433566435,94.89170424319803,93.08679048303298,0.5223693791773485,95.0139318508066,0.6708013584543621,1,test,100,10
fraudk,6,10,10,92.0,55176.0,92.0,10.0,90.19607843137256,99.83353839473112,50.0,99.81578472096804,64.33566433566435,94.89253742593571,93.08731642038012,0.5242867158058778,95.01480841305184,0.6708091722858883,2,test,100,10
fraudk,7,10,10,70.0,54815.0,70.0,8.0,89.74358974358975,99.8724605994352,50.0,99.85808634899844,64.22018348623853,94.672663059188,92.78225100034338,0.5172795416404338,94.80802517151247,0.6692902810067488,3,test,100,10
fraudk,8,10,10,101.0,55635.0,101.0,10.0,90.990990990991,99.81878857470934,50.0,99.80124268089602,64.5367412140575,95.30273076849905,93.6393302661065,0.5285382625809183,95.40488978285018,0.6737103999264129,4,test,100,10
fraudk,9,10,10,90.0,54902.0,90.0,9.0,90.9090909090909,99.83633983124818,50.0,99.82029732624204,64.51612903225806,95.26820505157968,93.5872655857381,0.5234044792695289,95.37271537016954,0.6734823089742634,5,test,100,10
pageblocks,0,25,10,447.0,442.0,447.0,2.0,99.554565701559,49.71878515185602,50.0,66.4424514200299,66.56738644825019,70.35433222625417,84.6038315366481,0.9955205762555428,74.63667542670751,0.4941125721516938,1,train,250,10
pageblocks,1,25,10,446.0,507.0,446.0,1.0,99.77628635346755,53.20041972717734,50.0,68.07142857142857,66.6168782673637,72.85698533993505,85.80352636558048,0.997897179798834,76.48835304032245,0.5136542434929647,2,train,250,10
pageblocks,2,25,10,445.0,475.0,445.0,1.0,99.77578475336324,51.63043478260869,50.0,67.34992679355784,66.61676646706587,71.77372184575718,85.33217976213687,0.9956013655462184,75.70310976798596,0.5059161344378791,3,train,250,10
pageblocks,3,25,10,452.0,524.0,452.0,1.0,99.77924944812362,53.68852459016394,50.0,68.29951014695591,66.61753868828299,73.19153426171422,85.95203199073572,0.9990476190476192,76.73388701914378,0.5160624345951101,4,train,250,10
pageblocks,4,25,10,443.0,513.0,443.0,2.0,99.5505617977528,53.6610878661088,50.0,68.23697359029265,66.56649135987978,73.08892832536065,85.7837196182596,0.9969321263010584,76.6058248319308,0.5138013005897335,5,train,250,10
pageblocks,5,25,10,110.0,964.0,110.0,1.0,99.09909909909908,89.75791433891993,50.0,90.63291139240506,66.46525679758308,94.31292831844992,96.29674367104533,0.8308071664897934,94.4285067190095,0.6658560423420214,1,test,250,10
pageblocks,6,25,10,108.0,953.0,108.0,5.0,95.57522123893806,89.82092365692743,50.0,90.3747870528109,65.65349544072947,92.65341143420788,93.84893196433487,0.8435442428135539,92.69807244793274,0.6500182483438144,2,test,250,10
pageblocks,7,25,10,110.0,875.0,110.0,4.0,96.49122807017544,88.83248730964468,50.0,89.62693357597816,65.86826347305389,92.58269704991255,94.19360584201621,0.8193621140450672,92.66185768991005,0.6501813700571679,3,test,250,10
pageblocks,8,25,10,106.0,905.0,106.0,1.0,99.06542056074768,89.51533135509396,50.0,90.4293381037567,66.4576802507837,94.16938965145238,96.20039379905157,0.845853352378479,94.29037595792082,0.6647751853714576,4,test,250,10
pageblocks,9,25,10,111.0,948.0,111.0,4.0,96.52173913043478,89.51841359773371,50.0,90.20442930153322,65.8753709198813,92.95414441890593,94.42074147062445,0.8302344890051829,93.02007636408425,0.6531352319185303,5,test,250,10
